km,brand,model,year,fuel_type,power,cylinder_capacity,transmission,pollution_norm,gearbox,body_type,number_of_doors,color,number_of_seats,color_option,vin,country_of_origin,owned,vehicle_condition,co2_emission,path_images,price,ad_id
192 000 km,BMW,X5,2014,Diesel,218 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Alb,5,Metalizata,Da,,Da,Second hand,151 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InViaXdwb2xza3JmZzItQVVUT1ZJVFJPIn0.TTEQUQ_igS5SPC8xgu6WCoMwmsrot7J_2ts8GzuGvPI/image;s=320x240,23 500,dd203094-9b3b-4641-89a6-4b755a84670f
46 500 km,BMW,X3,2019,Benzina,184 CP,1 998 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Alb,5,Metalizata,Da,Germania,Da,Second hand,163 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im9yanRrZXhtNGFuNi1BVVRPVklUUk8ifQ.r7lqygGyEe2D64Cge-DePrFngnvlyfgUfyxe1erVt7I/image;s=644x461,35 500,f29fdd7b-7c64-462f-9da8-68a2acbc947b
195 000 km,BMW,Seria 3,2013,Diesel,143 CP,1 995 cm3,Spate,Euro 5,Automata,Combi,5,Gri,5,Metalizata,Da,,,Second hand,119 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inp2eWZ0YmdtazIzODMtQVVUT1ZJVFJPIn0.Ht1ECP8nGzH78mqptWUhm_HEY71Y8Qa-WKj4rOzgseg/image;s=320x240,9 200,95627543-a18f-470a-b45c-72b9ea3cc677
190 000 km,Peugeot,3008,2017,Diesel,180 CP,1 997 cm3,Fata,Euro 6,Automata,SUV,5,Alb,5,Metalizata,Da,,Da,Second hand,124 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjU2dHJxNWl3Zjg3OC1BVVRPVklUUk8ifQ.VwVhxKnW_9m1kP8AxfY89I6qv3zlZiLxYkVnvROxsYw/image;s=320x240,17 500,5cfa2c17-2c55-4807-9865-f8d7fc67cb77
158 000 km,Renault,Espace,2016,Diesel,160 CP,1 598 cm3,Fata,Euro 6,Automata,Monovolum,5,Gri,7,Metalizata,Da,Franta,Da,Second hand,123 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVmdzRoZmhxYXJpay1BVVRPVklUUk8ifQ.a49iS4hK7hDgws9TgAWgQLZExZjJHZC4iX9Pxp1vjbw/image;s=320x240,16 500,0e340d91-f6d5-49d3-b2f5-e428160b6cde
133 544 km,Mercedes-Benz,A,2020,Benzina,163 CP,1 332 cm3,Fata,Euro 6,Automata,Compacta,4,Alb,5,Metalizata,Da,,Da,Second hand,133 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imh0dnVqZXJ6dGl5cjEtQVVUT1ZJVFJPIn0.yZPvzCiAMm8VNjYMj18gMGtY119rZdQF9gKXTEcq1Os/image;s=320x240,21 420,fe54633d-4ffd-4c10-bc47-f1498e17eeb2
161 861 km,Toyota,Proace,2016,Diesel,150 CP,1 997 cm3,Fata,,Manuala,Monovolum,5,Maro,8,Metalizata,,Germania,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImwwcTN5dmQwdWNpYi1BVVRPVklUUk8ifQ.O02BltKhYaWgSkA8HC836CYR8fKtOpM8Q3xBYQ3hgwE/image;s=320x240,25 990,abafda6e-1ef8-4b6c-a45d-ee83755c220d
111 000 km,Dacia,Logan,2017,Benzina,73 CP,998 cm3,Fata,Euro 6b,Manuala,Sedan,4,Argint,5,Metalizata,Da,,,Second hand,120 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImgxOHIxeGQ2ZzdkajEtQVVUT1ZJVFJPIn0.Oa0w_A2TwWR3yYvt83fIdZqzZ4amIPe3KXlMnG3Ug8w/image;s=320x240,7 550,537a6980-6d56-4ae5-a35a-77c7c139d3f6
181 455 km,BMW,X3,2015,Diesel,190 CP,1 995 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,5,Metalizata,Da,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InVzNW4zcmFoaTR3NDEtQVVUT1ZJVFJPIn0.-eKXLFbXNJwk-Gx0EPNAgfUA0bhYMPEmo8wxTVpHQII/image;s=320x240,18 990,b55d7e85-8b74-43e3-b7f2-4ac6c8639ee6
149 950 km,Renault,Talisman,2019,Diesel,150 CP,1 749 cm3,Fata,Euro 6,Manuala,Combi,5,Gri,5,Metalizata,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFjbnAzMGtoZngyczMtQVVUT1ZJVFJPIn0.SWYCIjny-0YU7VhwgzOiGbDzaKfGD7B0E1Mrbd3bBls/image;s=320x240,13 999,0d96c9f2-1b38-4c63-80b1-f6e29c9f9907
170 000 km,Audi,Q5,2019,Diesel,190 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,5,Metalizata,Da,,Da,Second hand,169 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im90YjI2emRobDU1bS1BVVRPVklUUk8ifQ.RuiuDih2_JMKbehUAKnNtXzlK5d9dSt28y-nHv0h4uE/image;s=320x240,31 989,da13972c-2704-44b0-938b-49939520aa61
120 000 km,BMW,X5,2019,Diesel,265 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,5,Metalizata,Da,,Da,Second hand,158 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRva3R2NW5kbDhrdjMtQVVUT1ZJVFJPIn0.DGll-mDl4tB4U7BOBNBwMEXjfNrWppTCL1fhXgEBH5c/image;s=320x240,53 907,aa8a3c85-c8bd-45ca-aeef-10ad342a91ff
188 000 km,Seat,Leon,2018,Diesel,150 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,Combi,5,Albastru,5,Metalizata,Da,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InF3MzhhODQ4Nm80eS1BVVRPVklUUk8ifQ.WCu8HpaELLfBLvLNettxfwnK1MUx5QSlTDljqDvZSmM/image;s=644x461,13 989,081b6c69-378b-4114-b294-21529cfb7d1b
71 741 km,Maybach,S 560 4Matic,2019,Benzina,469 CP,3 982 cm3,4x4 (automat),Euro 6,Automata,Sedan,5,Negru,4,Metalizata,Da,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRuemY5NGdldzNrYzEtQVVUT1ZJVFJPIn0.gTALTmnwJsEsLwXdZWF6JX2lHGwPNvcMgSZ6mebA3VY/image;s=644x461,95 188,bf1e70f0-e24c-4b70-b042-d3b8b72383eb
288 000 km,Audi,A6,2009,Diesel,136 CP,1 968 cm3,Fata,Euro 5,Automata,Combi,5,Albastru,5,Perlat,,Romania,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJ2NDRqYmd2YnZsazEtQVVUT1ZJVFJPIn0.a9I1hj3sSGZ9L8MTC7g_XimuzxTD2x7J8Jnyck2si6c/image;s=320x240,4 750,696a6793-e75d-4b58-a083-2a162be62c01
194 000 km,Renault,Espace,2016,Diesel,160 CP,1 598 cm3,Fata,Euro 6,Automata,Monovolum,5,Alb,5,Perlat,,Austria,Da,Second hand,123 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InY4cWtyaGxjbWR2eDEtQVVUT1ZJVFJPIn0.IIRBueouI2VbiUBNtFR7S0GIXOtvILLVSJOXm9YVk8s/image;s=320x240,13 490,15163141-477b-4a35-a056-2432e7388fe8
96 000 km,BMW,X4,2020,Diesel,265 CP,2 993 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Gri,5,Metalizata,Da,Romania,Da,Second hand,154 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNtYzRhb3lqc28zdjEtQVVUT1ZJVFJPIn0.O6VzRa6oYA6L1w6EWOv15XO4WKs1QAdmNr1FocuqR0M/image;s=320x240,40 600,98fa6c82-3b07-4df1-ba17-6996979322c4
71 990 km,Volkswagen,ARTEON,2019,Benzina,272 CP,1 984 cm3,4x4 (automat),,Automata,Sedan,5,Negru,,,,,,Second hand,160 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InllZWZ4MjFoYzExMjItQVVUT1ZJVFJPIn0.hFgy19aAPjFtcC7GQNnabUH_l33d0KlTpuuqNQ7YOrw/image;s=644x461,32 963,b000b4bb-d543-4f66-9599-1a1318124d97
224 000 km,Ford,Mondeo,2007,Diesel,130 CP,1 997 cm3,Fata,,Manuala,Sedan,5,Negru,5,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IncyNnFxaWtwMjh6czItQVVUT1ZJVFJPIn0.eXaoS0Kz3_czaYetCWNVVkHW5YWtQlRVeJwZeDp_SDI/image;s=644x461,4 499,f700d278-78de-49c2-bd18-925811e950a7
220 000 km,Peugeot,3008,2020,Diesel,130 CP,1 499 cm3,Fata,Euro 6,Automata,SUV,5,Verde,5,Metalizata,Da,,Da,Second hand,107 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijg4eGE4NTVoOWhoeDItQVVUT1ZJVFJPIn0.g2AO4r0-cj6pD9oRtQsUH8Pc96bmWlvhmlyI8Odjzoc/image;s=320x240,16 499,da17565f-cbe7-41c1-9471-f28a93da9e7b
126 150 km,Dacia,Duster,2018,Diesel,116 CP,1 461 cm3,Fata,Euro 6,Manuala,SUV,5,Alb,5,,Da,,Da,Second hand,124 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im14NmEydHRrbHA4ei1BVVRPVklUUk8ifQ.Ie2uf-ORCqRYkIF5bFh_mqpQX5Y6MYbTBVspIWEOCMc/image;s=644x461,11 700,00365908-37cb-4f9a-a58a-bb12cdf68427
44 700 km,BMW,X5,2020,Diesel,265 CP,2 993 cm3,4x4 (manual),Euro 6,Automata,SUV,5,Negru,5,Metalizata,Da,Germania,Da,Second hand,159 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImY1YW05Zm90M2c4ODItQVVUT1ZJVFJPIn0.WsWuG4wTNtFnSbIQSNGAzcMacGqa7LqAp2NAr54LyxA/image;s=644x461,61 500,3c555f03-3203-44b7-8d0d-bbbc32bec86b
60 000 km,Mercedes-Benz,GLE,2021,Benzina,612 CP,3 982 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Negru,5,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNuYWF2ajdkcGtpNzEtQVVUT1ZJVFJPIn0.NQrQUPxAZQcYuLdizZ5zymNb4Ge4Rxk6GTISK97Ui-Y/image;s=320x240,109 000,a2461668-df3b-421d-8f3a-093ebb45b0b8
95 000 km,Mercedes-Benz,E,2019,Benzina,435 CP,2 999 cm3,4x4 (automat),Euro 6d,Automata,Sedan,4,Gri,5,Mat,Da,Romania,Da,Second hand,197 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imw1cXVyYWlrYnI1bjEtQVVUT1ZJVFJPIn0.w5dOgdgrK-QJ--qir4OZInE6fPGcpHfrPB4MTgObhQY/image;s=320x240,50 000,d9ca550c-9891-4045-a0ea-d1e4e4b15623
146 000 km,Citroën,C4 Picasso,2012,Diesel,160 CP,1 997 cm3,Fata,Euro 5,Automata,Monovolum,5,Alte culori,,,Da,Germania,Da,Second hand,175 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im1hOWc4bmR6ODBucDItQVVUT1ZJVFJPIn0.9J8JzF5byHjlZ2sic_LlK3HQsx54-SeDSLnxw9fxLy8/image;s=644x461,6 490,c2964f41-3c29-419a-af34-71bd6e6a6ed8
174 000 km,Audi,A6,2016,Benzina,252 CP,1 984 cm3,Fata,Euro 6,Automata,Sedan,5,Alb,5,Metalizata,Da,Statele Unite ale Americii,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Iml1dmxlbmozbXh3ZjEtQVVUT1ZJVFJPIn0.bbxQ2PCvRTNhh1_zkzg3MNdn2Xdyte5ixjDUg9IbUZM/image;s=320x240,17 990,49033c5d-47b9-4e6e-8f6a-ffeadad0c371
254 504 km,Seat,Altea XL,2012,Diesel,140 CP,1 968 cm3,Fata,Euro 5,Automata,Monovolum,5,Maro,5,,,Olanda,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndsNmNlcDRjNTRnMjEtQVVUT1ZJVFJPIn0.SOboq_lQU-0O_3cR4-psTbIwUf1H7vosl-bEXyTezos/image;s=644x461,6 799,80e6d626-22ab-420a-b4d2-cbcbcc3fcd8f
254 000 km,Volkswagen,Tiguan,2013,Benzina,180 CP,1 984 cm3,4x4 (automat),Euro 5,Automata,SUV,5,Negru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ink0MjNpOGszd2R2MjEtQVVUT1ZJVFJPIn0.Ji07oOdMZqGtV-p_5hzFTjTLWJSvNQOeYWAh1ahqfoY/image;s=644x461,12 300,49ca2d7d-5a61-441a-998e-e63636ee1b06
140 000 km,Audi,Q3,2014,Diesel,140 CP,1 968 cm3,Fata,Euro 5,Manuala,SUV,5,Negru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjF0aWNvbmN6cnhhZy1BVVRPVklUUk8ifQ.UXf5tn8voZgtOCbFHpbcF1g6uLJy20x9IMe4Y3tl0cc/image;s=644x461,13 500,edf5912a-3f9d-45a7-984f-f141c7731516
198 600 km,Toyota,Yaris,2014,Diesel,90 CP,1 364 cm3,Fata,Euro 5,Manuala,Compacta,5,Alb,5,Metalizata,,Germania,Da,Second hand,91 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InlrNDY4ZGE2Y2g0Mi1BVVRPVklUUk8ifQ.K4K5qdo1OrRZTxnoc2B-rNOVwUsh9F1JKM3xajmhkyc/image;s=644x461,6 499,b20f8cb2-74f6-48f5-87d7-ed6ababe024f
198 900 km,Ford,Fiesta,2014,Diesel,95 CP,1 560 cm3,Fata,Euro 5,Manuala,Compacta,5,Alb,5,Metalizata,,Germania,Da,Second hand,98 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InAxdzVxa2cydTI0bzMtQVVUT1ZJVFJPIn0.4sN08PX2dRuj8slv7VatPOnBR3KapfXS4LxGhsI1c1g/image;s=644x461,6 499,02e71580-b3c8-444b-99e9-9fe47c9fc290
155 000 km,Dacia,Duster,2020,Benzina,131 CP,1 332 cm3,,Euro 6,Manuala,SUV,5,Alb,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImN2NGJ6czhzYmJyNjEtQVVUT1ZJVFJPIn0.FTYfD7BxCweE1W5SaOWXD4aczrdlbPcoP-DcDVYJGlI/image;s=644x461,13 800,a01c8897-1415-43c1-b411-ffb17f5b9c64
180 000 km,Hyundai,Tucson,2019,Benzina,177 CP,1 591 cm3,Fata,Euro 6,Manuala,SUV,5,Albastru,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhuMmFwbnA2aTJvZTMtQVVUT1ZJVFJPIn0.Dwtqw12xmBtDNg40hIvrHFn-ETI4sFdqd8Kn4i-FeSs/image;s=644x461,16 500,89c7b309-93d9-4929-8f15-4d0e2dd8c8d6
147 741 km,Volkswagen,Tiguan,2017,Benzina,180 CP,1 984 cm3,4x4 (automat),Euro 6,Automata,SUV,5,Albastru,5,Metalizata,Da,,Da,Second hand,199 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjJ5dXdhdXp2YWoyaTEtQVVUT1ZJVFJPIn0.0pGjoOVdyAA6gt6ZZII-XUvtP5NsdXnFfQFqe49HIYk/image;s=320x240,18 990,3e6ab42c-9171-44fc-9535-b4e602324daa
201 000 km,Mitsubishi,ASX,2017,Diesel,114 CP,1 560 cm3,,Euro 6,Manuala,SUV,5,Gri,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InI3ejR0bDVsd2ZnZTMtQVVUT1ZJVFJPIn0.eOLDbcpL6gUBHFnwBR0K8ZqsCQFa_yo2N_FyW4dBrQY/image;s=644x461,12 300,ff5e73a9-d363-4de9-846c-c8997189ff89
18 700 km,Mercedes-Benz,C,2022,Benzina,258 CP,1 999 cm3,,,Automata,Sedan,4,Gri,4,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imo4NjJ4Yzhpd28xcjItQVVUT1ZJVFJPIn0.HXCjStvp6NNPwOXTIxcEoFksXnf8Ts0O21WscgZD9Pk/image;s=320x240,59 381,f93c648f-d707-488b-ba44-0a23516c7d3b
181 950 km,Volkswagen,Tiguan,2020,Diesel,150 CP,1 968 cm3,Fata,Euro 6,Automata,SUV,5,Gri,,Metalizata,,Franta,Da,Second hand,128 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InZ5emxyeHpmc2c4aDEtQVVUT1ZJVFJPIn0.r0XvOg5CDAYOoc3w8UHhM9S1X1qTa8tYASQTDqb0p0U/image;s=320x240,18 988,427b7346-684d-40ad-b8c7-8dc11df6dc8b
256 000 km,BMW,X1,2010,Diesel,204 CP,1 995 cm3,4x4 (automat),Euro 5,Automata,SUV,5,Argint,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijk4a2pkdjQ2NTh1cy1BVVRPVklUUk8ifQ.5S5KRciAlEqwHTiq7WNnJsda65BmpU1pPkqIBm0e93o/image;s=644x461,10 000,d53fb98f-38e1-4699-b7c9-bb16344abf33
232 000 km,Volkswagen,Golf,2013,Diesel,105 CP,1 598 cm3,Fata,Euro 5,Manuala,Compacta,5,Argint,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InI5YWk0bGJ4NmE2ZzItQVVUT1ZJVFJPIn0.SwoD6-JFv3zgBjEm8fwXmZ0liBprmeGuG2FiiOdbNho/image;s=644x461,6 990,2dca1103-432a-4e2b-98bb-4124cbe507b5
94 640 km,Ford,Mondeo,2016,Diesel,150 CP,1 997 cm3,Fata,Euro 6,Automata,Sedan,5,Negru,5,Metalizata,Da,Romania,Da,Second hand,128 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImEyemJ5bTRxbXVhdjEtQVVUT1ZJVFJPIn0.o16zRkP_Cd_0nuSCiTOFM8oq3Ze9V5yLmort64csOGA/image;s=644x461,16 900,692724b1-c082-4361-a05c-2a99b459ac5a
161 000 km,Dacia,Sandero Stepway,2011,Benzina,87 CP,1 598 cm3,Fata,,Manuala,Masina de oras,5,Argint,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImwzZmc0YjViZjVhcTItQVVUT1ZJVFJPIn0.eooNh2L-b0EEwcblN08mwHZ5rGcTjbDyXk-7p-B874o/image;s=644x461,5 750,800f4fa3-6f64-49d9-a156-64882794c4b5
150 000 km,Audi,Q3,2015,Diesel,184 CP,1 968 cm3,4x4 (automat),Euro 6,Manuala,SUV,5,Albastru,5,Metalizata,,Germania,Da,Second hand,139 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhtOG9oYXNlNXB6cTMtQVVUT1ZJVFJPIn0.XC1Z0KaKPwXosMHpTy53F2ubZzscPPXNNkPcEStGqAc/image;s=320x240,18 900,72525147-df2c-494e-b338-00c6bb4b3117
295 500 km,Volvo,V60,2014,Diesel,115 CP,1 560 cm3,,,Automata,Combi,5,Gri,5,Metalizata,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRqaDZ4cHFlemw5ZzMtQVVUT1ZJVFJPIn0.66AguchGIotz9PcaooVhS5lsk-nTCBJiBEZEwDPTFdE/image;s=320x240,9 200,bd18d93e-a428-4759-ae31-b77d1c0d1790
48 000 km,Lexus,UX,2020,Hibrid,152 CP,1 987 cm3,,Euro 6,Automata,SUV,5,Negru,5,Metalizata,Da,Suedia,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InViN3A5bjZzdHB3bjEtQVVUT1ZJVFJPIn0.y66ihnnxUpvZEgLAS6oZJmEMWUs8fKkaoHple5oka2Q/image;s=320x240,29 869,773308f1-11f1-41c2-bfa2-9942e6b44b5f
243 000 km,Volkswagen,Transporter,2011,Diesel,102 CP,1 968 cm3,Fata,Euro 5,Manuala,Monovolum,4,Alb,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImRlcWM4enBxYTQ0YzEtQVVUT1ZJVFJPIn0.f_oO52HdXbROCrCWMvF9pyOoFevyI6zTpYuUMvvnlGM/image;s=644x461,9 250,7cd9e1a3-2bf5-4cc0-958a-76bdaf46f477
165 000 km,Audi,A4,2010,Diesel,143 CP,1 968 cm3,Fata,Euro 5,Manuala,Combi,5,Alb,,,,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFzODV0Z2EzYzh1YS1BVVRPVklUUk8ifQ.R1AXUUynPJVY5CTAWSqnTQ-jPCyc2cpfZHk0l3LZWcI/image;s=644x461,8 250,827bf286-5edf-4ea2-b4b7-95eec9310191
73 066 km,BMW,Seria 3,2018,Benzina,136 CP,1 499 cm3,Spate,Euro 6,Automata,Sedan,4,Negru,5,Metalizata,,Romania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjY4Y3BuZmJ0bGd4ajEtQVVUT1ZJVFJPIn0.NtdsREJI9stAcQi2NUI_cILnoxzMqg31GHu5ThNARvc/image;s=644x461,18 990,38761981-00cd-473c-9352-01d64f731237
20 km,Audi,A5,2023,Benzina,204 CP,1 968 cm3,,Euro 6,Automata,Sedan,5,Alb,,Metalizata,,,Da,Nou,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImV6MGZxYXYyc3BocjItQVVUT1ZJVFJPIn0.Cs8A9_vNQLdCfZHj7NmqneAC5ZLIWwLKLKdm18rTkFI/image;s=644x461,54 849,0c1996f3-69cc-41b7-b3b8-8d610427bfc0
238 013 km,Volkswagen,Passat,2017,Diesel,120 CP,1 598 cm3,Fata,,Automata,Combi,5,Negru,,,Da,Franta,Da,Second hand,104 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFubTdxYzI3MHVhdDItQVVUT1ZJVFJPIn0.TLwGXVF6CA7Cv7BU2Qga2pfiWvvuGHVWCsn3cV5GB08/image;s=320x240,9 999,c2579e06-f0fb-4531-8e9c-77b39d8f107c
161 669 km,Peugeot,3008,2018,Diesel,131 CP,1 499 cm3,Fata,Euro 6,Automata,SUV,5,Argint,5,Metalizata,,Franta,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjNycjJyaG56eHRxcDEtQVVUT1ZJVFJPIn0.9Ktjh7CrZ1DPb5-JlLz4FAJicvwmByhu_TDlWpX0j3Q/image;s=320x240,16 989,65ee0952-978e-4ad2-bdfd-7cd28a60adf0
220 909 km,Skoda,Octavia,2017,Diesel,110 CP,1 598 cm3,Fata,,Manuala,Combi,5,Negru,5,,Da,Belgia,Da,Second hand,98 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImpiYzMxMTF0cWlldzEtQVVUT1ZJVFJPIn0.kfBIWoNIluAGANgV4FFCCjC7RAKM9x-4j5IDwXekaYc/image;s=320x240,8 150,2c8fa22e-62bb-4e06-ab30-b8ffb03a7a23
2 000 km,Jaguar,I-Pace,2021,Electric,400 CP,,4x4 (automat),,Automata,SUV,5,Bej,,,,,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InpkaDN5anlidG9mLUFVVE9WSVRSTyJ9.p5J2c_rOsUHiqhdLf0CNmkgJq57Upjxcgb-heYUoqJM/image;s=644x461,77 841,68a92fd6-1820-4a2a-a148-e24083451ebb
167 947 km,Peugeot,3008,2018,Diesel,130 CP,1 499 cm3,Fata,,Automata,SUV,5,Alb,5,Metalizata,,,Da,Second hand,105 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imxocmw4MDlkbWhzejItQVVUT1ZJVFJPIn0.nX_W2iX5H9pK5UIOm6MdwubaQyk45a7Yxbq8L7ZvwPk/image;s=320x240,16 489,1f0370bc-b50e-44fa-8f44-a8acf8d32ed9
115 000 km,Mercedes-Benz,GLE,2020,Benzina,367 CP,2 999 cm3,4x4 (automat),Euro 6b,Automata,SUV,5,Negru,7,Metalizata,Da,Germania,Da,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhwaDltbTF4M3A0bjEtQVVUT1ZJVFJPIn0.jm6QFUzNFxEJj6UHqOBSz34gjL4ndiwhMor1KAQQ7gM/image;s=320x240,68 000,b66b96a0-0c7d-4a9f-ac44-e530e2158777
11 229 km,Dacia,Sandero,2020,Diesel,75 CP,1 461 cm3,Fata,Euro 6,Manuala,Compacta,5,Albastru,5,Metalizata,,Romania,Da,Second hand,93 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InQ3bzd6dWl5enhtdTItQVVUT1ZJVFJPIn0.C_YbRTQD3oHc5shZ9MuvJiF39jWnUmuqYReIfwcVxD4/image;s=644x461,9 790,40dbabfe-c819-45f8-9922-7c70124fffae
18 111 km,Mercedes-Benz,CLA,2022,Benzina,163 CP,1 332 cm3,Fata,,Automata,Sedan,4,Alb,5,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImxwdGs1a25lbmU4Zy1BVVRPVklUUk8ifQ.dhDw-EuXb-oNpzYdQbrry1EBWck33aZvm3paxLXgebs/image;s=320x240,40 200,3a36a579-79b8-4bc9-b6fe-3cfe649f2b8b
26 067 km,Mercedes-Benz,CLA,2021,Benzina,163 CP,1 332 cm3,Fata,,Automata,Sedan,4,Alb,5,,Da,,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imt4ODAzM21pOGt4bi1BVVRPVklUUk8ifQ.lHsfG7HVy1EXIWesSPm11yhJ9MXUGnAiu90BM12771I/image;s=320x240,37 990,cdf19df3-c077-4728-8e96-ede728eeb287
189 376 km,Volkswagen,Caravelle,2017,Diesel,204 CP,1 968 cm3,4x4 (automat),Euro 6,Automata,Monovolum,5,Negru,8,Metalizata,,Germania,,Second hand,168 g/km,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjhyeXp0ODhtZmZnYTMtQVVUT1ZJVFJPIn0.SDxvAnO350U5PWlUi2SOfudIVeZUsshdtTBRM2_kFLk/image;s=320x240,30 990,c15a471b-2411-4708-9750-d9d951f8b85a
206 000 km,Volkswagen,Golf,2009,Diesel,140 CP,1 968 cm3,Fata,Euro 5,Manuala,Masina de oras,5,Negru,5,Metalizata,,Austria,,Second hand,,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InMwZGh6Y3V3bTRsdS1BVVRPVklUUk8ifQ.PWNglYl0qUCkK81MFtTaPEWrjglQJfKtj2Ax7fOYgss/image;s=644x461,6 800,4b53284c-d4f0-4335-bc6b-34520b6afdba
